movie_title,Release_Year,director_name,actor_1_name,actor_2_name,actor_3_name,genres,duration,language,tmdb_score
Avengers: Endgame,2019,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,"Adventure, Science Fiction, Action",181.0,English,8.2
The Lion King,2019,Roger Allers,Matthew Broderick,Moira Kelly,Nathan Lane,"Animation, Family, Drama",89.0,English,8.3
Star Wars: The Rise of Skywalker,2019,J.J. Abrams,Carrie Fisher,Mark Hamill,Daisy Ridley,"Adventure, Action, Science Fiction",142.0,English,6.3
Frozen 2,2019,John S. Wilson,Frank S. Pavis,S. Kobayashi,,"Science Fiction, Fantasy",0.0,Chinese,0.0
Toy Story 4,2019,Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,"Family, Comedy, Animation, Adventure",100.0,English,7.5
Captain Marvel,2019,Ryan Fleck,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,"Action, Adventure, Science Fiction",124.0,English,6.8
Spider-Man: Far From Home,2019,Jon Watts,Tom Holland,Jake Gyllenhaal,Samuel L. Jackson,"Action, Adventure, Science Fiction",129.0,English,7.4
Aladdin,2019,Ron Clements,Scott Weinger,Robin Williams,Linda Larkin,"Animation, Family, Adventure, Fantasy, Romance",91.0,English,7.7
Joker,2019,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,"Crime, Thriller, Drama",122.0,English,8.1
Jumanji: The Next Level,2019,Jake Kasdan,Dwayne Johnson,Kevin Hart,Jack Black,"Adventure, Comedy, Fantasy",123.0,English,6.9
Escape Room,2019,Adam Robitel,Taylor Russell,Logan Miller,Jay Ellis,"Horror, Thriller, Mystery",99.0,English,6.5
Rust Creek,2019,Jen McGowan,Hermione Corfield,Jay Paulson,Sean O'Bryan,"Thriller, Drama, Action, Crime",108.0,English,6.3
American Hangman,2019,Wilson Coneybeare,Donald Sutherland,Vincent Kartheiser,Oliver Dennis,Thriller,99.0,English,6.0
A Dog's Way Home,2019,Charles Martin Smith,Bryce Dallas Howard,Jonah Hauer-King,Alexandra Shipp,"Drama, Adventure, Family",96.0,English,7.4
The Upside,2019,Neil Burger,Kevin Hart,Bryan Cranston,Nicole Kidman,"Comedy, Drama",126.0,English,7.1
Replicas,2019,Jeffrey Nachmanoff,Keanu Reeves,Alice Eve,Thomas Middleditch,"Science Fiction, Thriller, Drama",107.0,English,6.0
After Darkness,2019,Batan Silva,Natalia Dyer,Valorie Curry,Kyra Sedgwick,"Drama, Family, Thriller, Science Fiction",98.0,English,4.1
Glass,2019,M. Night Shyamalan,James McAvoy,Bruce Willis,Samuel L. Jackson,"Thriller, Drama, Science Fiction",129.0,English,6.7
Close,2019,Lukas Dhont,Eden Dambrine,Gustav De Waele,Émilie Dequenne,Drama,104.0,French,7.8
The Standoff at Sparrow Creek,2019,Henry Dunham,James Badge Dale,Brian Geraghty,Patrick Fischler,"Crime, Drama, Thriller",88.0,English,6.2
The Final Wish,2019,Timothy Woodward Jr.,Lin Shaye,Michael Welch,Melissa Bolona,Horror,95.0,English,5.0
The Kid Who Would Be King,2019,Joe Cornish,Louis Ashbourne Serkis,Dean Chaumoo,Tom Taylor,"Action, Adventure, Fantasy, Family",120.0,English,6.2
Serenity,2019,Joss Whedon,Nathan Fillion,Summer Glau,Gina Torres,"Science Fiction, Action, Adventure, Thriller",119.0,English,7.4
I Am Mother,2019,Grant Sputore,Clara Rugaard,Rose Byrne,Hilary Swank,"Science Fiction, Thriller",113.0,English,6.7
The Vast of Night,2019,Andrew Patterson,Sierra McCormick,Jake Horowitz,Bruce Davis,"Drama, Mystery, Science Fiction, Thriller",91.0,English,6.6
Miss Bala,2019,Catherine Hardwicke,Gina Rodriguez,Ismael Cruz Cordova,Aislinn Derbez,Action,104.0,English,6.4
Velvet Buzzsaw,2019,Dan Gilroy,Rene Russo,Jake Gyllenhaal,Zawe Ashton,"Thriller, Mystery, Horror",112.0,English,5.4
O.G,2019,Patrick Michael,Byron Thomas,Stevie Johnson,Carina Conti,Drama,6.0,English,0.0
The Lego Movie 2: The Second Part,2019,Mike Mitchell,Chris Pratt,Elizabeth Banks,Will Arnett,"Action, Adventure, Animation, Comedy, Family",107.0,English,6.7
What Men Want,2019,Adam Shankman,Taraji P. Henson,Aldis Hodge,Josh Brener,"Comedy, Romance",117.0,English,6.2
Cold Pursuit,2019,Hans Petter Moland,Liam Neeson,Tom Bateman,Tom Jackson,"Crime, Action",119.0,English,5.9
High Flying Bird,2019,Steven Soderbergh,André Holland,Zazie Beetz,Melvin Gregg,Drama,90.0,English,5.7
The Prodigy,2019,Robert D. Hanna,Courtnee Draper,Robby Daniels,Ray Hanna,"Animation, Adventure, Family",77.0,English,1.7
Isn't It Romantic,2019,Todd Strauss-Schulson,Rebel Wilson,Liam Hemsworth,Adam Devine,"Comedy, Fantasy, Romance",88.0,English,6.2
Happy Death Day 2U,2019,Christopher Landon,Jessica Rothe,Israel Broussard,Charles Aitken,"Comedy, Horror, Science Fiction",100.0,English,6.3
Alita: Battle Angel,2019,Robert Rodriguez,Rosa Salazar,Christoph Waltz,Jennifer Connelly,"Action, Science Fiction, Adventure",122.0,English,7.2
How to Train Your Dragon: The Hidden World,2019,Dean DeBlois,Jay Baruchel,America Ferrera,F. Murray Abraham,"Animation, Family, Adventure",104.0,English,7.7
Fighting with My Family,2019,Stephen Merchant,Florence Pugh,Lena Headey,Nick Frost,Comedy,108.0,English,6.8
A Madea Family Funeral,2019,Tyler Perry,Tyler Perry,Cassi Davis,Patrice Lovely,Comedy,109.0,English,6.0
Greta,2019,Nathan Grossman,Greta Thunberg,Svante Thunberg,Niclas Svenningsen,Documentary,97.0,Swedish,5.9
Triple Frontier,2019,J.C. Chandor,Ben Affleck,Oscar Isaac,Charlie Hunnam,"Action, Thriller, Crime, Adventure",125.0,English,6.3
Captain Marvel,2019,Ryan Fleck,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,"Action, Adventure, Science Fiction",124.0,English,6.8
Gloria Bell,2019,Sebastián Lelio,Julianne Moore,John Turturro,Michael Cera,"Drama, Romance",102.0,English,6.0
The Kid,2019,Charlie Chaplin,Charlie Chaplin,Jackie Coogan,Carl Miller,"Comedy, Drama",68.0,English,8.1
Wonder Park,2019,Dylan Brown,Brianna Denski,Norbert Leo Butz,Ken Hudson Campbell,"Comedy, Animation, Adventure, Family, Fantasy",86.0,English,6.5
Nancy Drew and the Hidden Staircase,2019,Katt Shea,Sophia Lillis,Sam Trammell,Andrew Matthew Welch,"Crime, Family, Mystery",89.0,English,6.4
Captive State,2019,Rupert Wyatt,John Goodman,Ashton Sanders,Jonathan Majors,"Science Fiction, Action, Thriller",110.0,English,5.7
The Aftermath,2019,James Kent,Keira Knightley,Alexander Skarsgård,Jason Clarke,"War, Drama, Romance",108.0,English,6.4
Five Feet Apart,2019,Justin Baldoni,Haley Lu Richardson,Cole Sprouse,Moisés Arias,"Romance, Drama",116.0,English,8.2
The Highwaymen,2019,John Lee Hancock,Kevin Costner,Woody Harrelson,Kathy Bates,"Crime, Drama, Thriller",133.0,English,6.8
Red 11,2019,Robert Rodriguez,Roby Attal,Lauren Hatfield,Carlos Gallardo,"Thriller, Science Fiction, Horror, Mystery",77.0,English,5.2
Never Grow Old,2019,Ivan Kavanagh,Emile Hirsch,John Cusack,Déborah François,Western,101.0,English,6.0
Triple Threat,2019,Jesse V. Johnson,Tony Jaa,Tiger Chen Hu,Iko Uwais,"Thriller, Action",96.0,English,6.4
Us,2019,Jordan Peele,Lupita Nyong'o,Winston Duke,Elisabeth Moss,"Horror, Mystery",116.0,English,7.0
Hotel Mumbai,2019,Anthony Maras,Dev Patel,Armie Hammer,Nazanin Boniadi,"Thriller, History, Drama, Action",123.0,English,7.5
The Dirt,2019,Jeff Tremaine,mgk,Douglas Booth,Daniel Webber,"Drama, Music, Comedy",108.0,English,7.4
Dragged Across Concrete,2019,S. Craig Zahler,Mel Gibson,Vince Vaughn,Tory Kittles,"Crime, Action, Thriller",159.0,English,6.6
Dumbo,2019,Ben Sharpsteen,Edward Brophy,Margaret Wright,Verna Felton,"Animation, Family",64.0,English,7.0
The Beach Bum,2019,Harmony Korine,Matthew McConaughey,Snoop Dogg,Isla Fisher,"Comedy, Drama",95.0,English,5.7
Unplanned,2019,Cary Solomon,Ashley Bratcher,Brooks Ryan,Robia LaMorte,Drama,109.0,English,6.8
Shazam!,2019,David F. Sandberg,Zachary Levi,Mark Strong,Asher Angel,"Action, Comedy, Fantasy",132.0,English,7.0
Pet Sematary,2019,Dennis Widmyer,Jason Clarke,Amy Seimetz,John Lithgow,Horror,101.0,English,5.7
The Best of Enemies,2019,Robin Bissell,Taraji P. Henson,Sam Rockwell,Babou Ceesay,"Drama, History",133.0,English,7.4
High Life,2019,Claire Denis,Robert Pattinson,Juliette Binoche,Mia Goth,"Science Fiction, Drama, Mystery",113.0,English,5.7
Unicorn Store,2019,Brie Larson,Brie Larson,Samuel L. Jackson,Joan Cusack,"Fantasy, Drama, Comedy",91.0,English,5.9
The Haunting of Sharon Tate,2019,Daniel Farrands,Hilary Duff,Jonathan Bennett,Lydia Hearst,"Horror, Thriller",90.0,English,4.4
The Wind,2019,Michael Mongillo,Carolyn Camburn,Philipp Karner,Zeke Rippy,Horror,90.0,English,1.3
Native Son,2019,Jerrold Freedman,Victor Love,Matt Dillon,Elizabeth McGovern,Drama,111.0,English,5.0
The Silence,2019,John R. Leonetti,Stanley Tucci,Kiernan Shipka,Miranda Otto,"Horror, Drama, Thriller, Fantasy",91.0,English,6.0
Hellboy,2019,Neil Marshall,David Harbour,Milla Jovovich,Ian McShane,"Fantasy, Horror, Action, Adventure",121.0,English,5.6
Little,2019,Tina Gordon,Regina Hall,Issa Rae,Marsai Martin,"Comedy, Fantasy, Romance",108.0,English,6.9
Missing Link,2019,Chris Butler,Hugh Jackman,Zoe Saldaña,Zach Galifianakis,"Family, Animation, Comedy, Adventure, Action",94.0,English,6.9
After,2019,Jenny Gage,Josephine Langford,Hero Fiennes Tiffin,Shane Paul McGhie,"Drama, Romance",106.0,English,7.1
Her Smell,2019,Alex Ross Perry,Elisabeth Moss,Cara Delevingne,Dan Stevens,"Drama, Music",136.0,English,5.8
Breakthrough,2019,Roxann Dawson,Chrissy Metz,Josh Lucas,Topher Grace,Drama,116.0,English,7.6
Penguins,2019,Jeff Wilson,Ed Helms,,,"Documentary, Family",76.0,English,7.1
The Curse of La Llorona,2019,Michael Chaves,Linda Cardellini,Raymond Cruz,Patricia Velásquez,Horror,93.0,English,5.7
Under the Silver Lake,2019,David Robert Mitchell,Andrew Garfield,Riley Keough,Topher Grace,"Crime, Drama, Mystery",139.0,English,6.4
Family,2019,Adrian Mead,Eric Barlow,Pam Ferris,Maurice Roëves,Drama,24.0,English,0.0
Fast Color,2019,Julia Hart,Gugu Mbatha-Raw,Saniyya Sidney,Lorraine Toussaint,"Thriller, Science Fiction",102.0,English,6.0
Someone Great,2019,Jennifer Kaytin Robinson,Gina Rodriguez,Brittany Snow,DeWanda Wise,"Comedy, Romance",92.0,English,6.4
