,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,language,duration,imdb_score,comb
0,Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Horror Thriller,insidious: the last key,English,103.0,6.3,Lin Shaye Angus Sampson Leigh Whannell Adam Robitel Horror Thriller
1,Christopher Radcliff (director/screenplay); Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Drama Mystery,the strange ones,English,14.0,6.9,Lauren Wolkstein (director); Alex Pettyfer James Freedson-Jackson Emily Althaus Christopher Radcliff (director/screenplay); Lauren Wolkstein Drama Mystery
2,Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Action Thriller Mystery,the commuter,English,104.0,6.4,Liam Neeson Vera Farmiga Patrick Wilson Jaume Collet-Serra Action Thriller Mystery
3,Babak Najafi,Taraji P. Henson,Jahi Di'Allo Winston,Billy Brown,Thriller Action Crime,proud mary,English,88.0,5.5,Taraji P. Henson Jahi Di'Allo Winston Billy Brown Babak Najafi Thriller Action Crime
4,Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Action Crime Thriller,acts of violence,English,86.0,5.6,Bruce Willis Cole Hauser Shawn Ashmore Brett Donowho Action Crime Thriller
5,Trudie Styler,Alex Lawther,Abigail Breslin,AnnaSophia Robb,Comedy Drama,freak show,English,91.0,6.7,Alex Lawther Abigail Breslin AnnaSophia Robb Trudie Styler Comedy Drama
6,Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Comedy,humor me,English,93.0,5.7,Jemaine Clement Elliott Gould Ingrid Michaelson Sam Hoffman Comedy
7,Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,War Drama Action History,12 strong,English,130.0,6.4,Chris Hemsworth Michael Shannon Michael Peña Nicolai Fuglsig War Drama Action History
8,Christian Gudegast,Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.,Crime Thriller Action,den of thieves,English,140.0,6.9,Gerard Butler Pablo Schreiber O'Shea Jackson Jr. Christian Gudegast Crime Thriller Action
9,Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Romance Drama,forever my girl,English,108.0,7.6,Alex Roe Jessica Rothe John Benjamin Hickey Bethany Ashton Wolf Romance Drama
10,Jesse Keller,Carr Cavender,Molly Beucher,Connor Sullivan,Drama Thriller,thane of east county,English,90.0,4.0,Carr Cavender Molly Beucher Connor Sullivan Jesse Keller Drama Thriller
11,Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Science Fiction Action Adventure Thriller,maze runner: the death cure,English,143.0,7.1,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Wes Ball Science Fiction Action Adventure Thriller
12,Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Comedy Drama,please stand by,English,93.0,6.8,Dakota Fanning Toni Collette Alice Eve Ben Lewin Comedy Drama
13,The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Horror Thriller,winchester,English,100.0,5.9,Helen Mirren Jason Clarke Sarah Snook The Spierig Brothers Horror Thriller
14,Sebastián Lelio,Daniela Vega,Francisco Reyes Morandé,unknown,Drama,a fantastic woman,Spanish,104.0,7.0,Daniela Vega Francisco Reyes Morandé unknown Sebastián Lelio Drama
15,Mario Van Peebles,Mario Van Peebles,Ryan Guzman,Columbus Short,Action Thriller,armed,English,120.0,4.3,Mario Van Peebles Ryan Guzman Columbus Short Mario Van Peebles Action Thriller
16,Julius Onah,Gugu Mbatha-Raw,Elizabeth Debicki,Aksel Hennie,Horror Mystery Science Fiction,the cloverfield paradox,English,102.0,5.6,Gugu Mbatha-Raw Elizabeth Debicki Aksel Hennie Julius Onah Horror Mystery Science Fiction
17,Bryan Coyne,Brea Grant,Graham Skipper,Aly Fitzgerald,Comedy Thriller,bad apples,English,100.0,0.0,Brea Grant Graham Skipper Aly Fitzgerald Bryan Coyne Comedy Thriller
